id,nome,cbf
0,Nathanael Ananias da Silva,40
1,Guilherme Antonio Arana Lopes,13
2,Carlos Maria de Pena Bonino,14
3,Gabriel Ivan Mercado,25
4,Keiller da Silva Nunes,12
5,Gabriel Girotto Franco,23
6,Manoel Messias Silva Carvalho,26
7,Alisson Euler de Freitas Castro,12
8,Pedro Henrique Ribeiro Goncalves,34
9,Vitor Frezarin Bueno,8
10,Christian Roberto Alves Cardoso,88
11,Marcos Luis Rocha Aquino,2
12,Jorge Marco de Oliveira Moraes,6
13,Jose Rafael Vivian,8
14,Abel Fernando Moreira Ferreira,TC
15,Danilo dos Santos de Oliveira,28
16,Richard Candido Coelho,25
17,Vinicius Goes Barbosa de Souza,29
18,John Steven Mendoza Valencia,10
19,Erick de Arruda Serafim,11
20,Luiz Otavio Anacleto Leandro,13
21,Geovane da Silva de Souza,21
22,Dorival Silvestre Junior,TC
23,Severino do Ramo Clementino da Silva,2
24,Rodrigo Oliveira Lindoso,19
25,Joao Victor da Silva Marcelino,33
26,Roni Medeiros de Moura,29
27,Raul Gustavo Pereira Bicalho,34
28,TGLUIS MIGUEL MOREIRA DA SILVA,
29,Joao Pedro Maturano dos Santos,2
30,Victor Hugo Soares dos Santos,4
31,PFLuis Gustavo de Araujo,
32,Jadsom Meemyas de Oliveira da Silva,5
33,Cleiton Schwengber,18
34,Miguel Silveira dos Santos,30
35,Leonardo Javier Realpe Montaño,2
36,Alerrandro Barra Mansa Realino de Souza,9
37,Jonathan Doin,28
38,William Matheus da Silva,6
39,Eduardo Alexandre Baptista,TC
40,Rafael Forster,12
41,Yuri Oliveira Lima,50
42,Robson dos Santos Fernandes,7
43,Brayan Andres Ceballos Jimenez,6
44,Alan Pereira Empereur,3
45,Alesson dos Santos Batista,22
46,Joao Lucas de Almeida Carvalho,2
47,David Luiz Moreira Marinho,23
48,Mario Sergio Santos Costa,31
49,Leonardo Augusto dos Santos Pereira,11
50,Marlon Rodrigues Freitas,8
51,Jorge de Moura Xavier,10
52,Guilherme Bissoli Campos,77
53,Bruno Cortes Barbosa,33
54,Lucas Baptista Felix,97
55,Pedro Gabriel Pereira Lopes,29
56,Iago Justen Maidana Martins,3
57,Matheus Leonardo Sales Cardoso,40
58,Marlon Matheus Lopes do Nascimento -,6
59,Matheus Leonardo Sales Cardoso -,40
60,Luciano Castan da Silva,4
61,Henrique Adriano Buss,3
62,Caio Vinicius da Conceicao,15
63,Renato Barbosa dos Santos Junior,19
64,Joao Vitor Vallony da Silva,3
65,Luiz Filipe dos Reis Silva,30
66,Patric Cabral Lalau,2
67,Eder Ferreira Graminho,33
68,Juan Pablo Ramirez Velasquez,10
69,Paulo Roberto Moccelin -,94
70,Marcio Rafael Ferreira de Souza,13
71,Pablo Gonçalves Maia Fortunato,29
72,Andre Anderson Pomilio Lima da Silva,28
73,Reinaldo Manoel da Silva,6
74,Diego Henrique Costa Barbosa,4
75,Leonardo Pinheiro da Conceicao,16
76,Gabriel Barbosa Almeida,9
77,João Victor Gomes da Silva,35
78,Luan Candido de Almeida,36
79,Edson Felipe da Cruz,4
80,Jorge de Moura Xavier,10
81,Luis Eduardo Marques dos Santos,2
82,Rickson Barbosa Sa da Conceicao,17
83,Roni Medeiros de Moura,29
84,Bruno Cesar Pereira Silva,8
85,Eduardo Gabriel dos Santos Bauermann,4
86,Madson Ferreira dos Santos,13
87,Guillermo Gabriel de Los Santos Viana,5
88,Andrey Ramos do Nascimento,7
89,Alef Mangueira Severino Pereira,11
90,Igor Guilherme Barbosa da Paixao,98
91,Andres Nicolas Dalessandro,10
92,Gabriel Ivan Mercado,25
93,Gabriel Boschilia,21
94,Joao Lucas de Souza Cardoso,30
95,Alexandre Zurawski,35
96,Luis Antonio da Rocha Junior,29
97,Silvio Ezequiel Romero,18
98,Matheus Isaias dos Santos,8
99,Luis Antonio Ferreira Rodrigues,15
100,Christian Chagas Tarouco,4
101,Bruno de Jesus Pacheco,6
102,Chayene Medeiros Oliveira Santos,14
103,Diego Terra Loureiro,12
104,Kayque Luiz Pereira,62
105,Renzo Saravia,2
106,Vinicius Moreira de Lima -,45
107,Vitor Ilidio Castanheiras Penas,AT
108,Pedro Raul Garay da Silva,11
109,Adailson Freire Pereira da Silva,97
110,Fellipe Ramos Ignez Bastos,8
111,Danilo Carvalho Barcelos,14
112,Emerson Rodrigues de Avila,AT
113,Marcilio Florencio Mota Filho,33
114,Igor Aquino da Silva,6
115,Andre Felipe Ribeiro de Souza,9
116,Ignacio Martin Fernandez,26
117,Ademir da Silva Santos Junior,19
118,Nathanael Ananias da Silva,40
119,Pablo Felipe Teixeira,92
120,Hugo Moura Arruda da Silva,17
121,Givanildo Vieira de Sousa,7
122,Guilherme Antonio Arana Lopes,13
123,Gustavo Eliseo Morinigo Vazquez,TC
124,Adrian Emmanuel Martinez,52
125,David Correa da Fonseca,17
126,Rodrigo Dourado Cunha,13
127,Daniel de Sousa Brito,1
128,Luccas Claro dos Santos,4
129,David Braz de Oliveira Filho,44
130,Frederico Chaves Guedes,9
131,Lucas Felipe Calegari,31
132,Jhon Adolfo Arias Andrade,21
133,Abel Carlos da Silva Braga,TC
134,Diego Henrique Costa Barbosa,4
135,Rogerio Ceni,TC
136,Eder Citadin Martins,23
137,Leonardo Javier Realpe Montaño,2
138,Aderlan de Lima Silva,13
139,Hyoran Kaue Dalmoro,10
140,Carlos Eduardo Ferreira de Souza,28
141,Rogerio Ceni -,TC
142,Maycon de Andrade Barberan,5
143,Lucas Piton Crivellaro,6
144,Gustavo Raul Gomez Portillo,15
145,Rodrigo Fernandez Cedres,14
146,Marcos Leonardo Santos Almeida,9
147,Jadson Alves dos Santos,16
148,Vitor Mendes Alves,34
149,Elton Rodrigues Brandao,19
150,Marllon Goncalves Jeronimo Borges,4
151,Joao Lucas de Almeida Carvalho,2
152,Alesson dos Santos Batista,18
153,Vitor Mendes Alves -,34
154,Vinicius Moreira de Lima,45
155,Richard Candido Coelho,25
156,Richardson Fernandes dos Santos,7
157,Cleber Bomfim de Jesus,89
158,Glaybson Yago Souza Lisbôa,22
159,Brayan Andres Ceballos Jimenez,6
160,Lucas Rafael Araujo Lima,13
161,José Welison da Silva,17
162,TGNahuel Dario Martinez,
163,Igor Torres da Silva,77
164,Luis Antonio Ferreira Rodrigues -,15
165,Gaston Ricardo Liendo -,AT
166,Gabriel Baralhas dos Santos,17
167,Edson Felipe da Cruz,5
168,Philipe Sampaio Azevedo,94
169,Matheus de Sales Cabral,37
170,Magno Jose da Silva,2
171,Fellipe Ramos Ignez Bastos,8
172,Luan Madson Gedeao de Paiva,33
173,Pedro Raul Garay da Silva,11
174,Douglas Alan Schuck Friedrich,1
175,Bruno Cortes Barbosa,33
176,Lucas de Souza Ventura,5
177,Lucas Baptista Felix,97
178,Luiz Guilherme da Conceicao Silva,11
179,Andrew Erik Feitosa -,53
180,Pablo Nascimento Castro,30
181,Mario Sergio Santos Costa,31
182,Luis Manuel Orejuela Garcia,24
183,Christian Roberto Alves Cardoso,88
184,Matheus Felipe Santos Nascimento,42
185,Lucas Halter,33
186,Jailson Marcelino dos Santos,42
187,Murilo Cerqueira Paim,26
188,Jose Rafael Vivian,8
189,Marcos Luis Rocha Aquino,2
190,Vitor Ilidio Castanheiras Penas,AT
191,Eduardo Pereira Rodrigues,7
192,Thiago Maia Alencar,8
193,João Victor Gomes da Silva,35
194,Gabriel Barbosa Almeida,9
195,Marcio Rafael Ferreira de Souza,13
196,Leandro Del Giudice Macagnan,TC
197,Alisson Euler de Freitas Castro,12
198,Marcos Leonardo Santos Almeida,9
199,Madson Ferreira dos Santos,13
200,Fabian Daniel Bustos,TC
201,Rodrigo Fernandez Cedres,14
202,Lucas Pires Silva,44
203,TGLuis Miguel Moreira da Silva,
204,Willian Borges da Silva,10
205,Vitor Manuel de Oliveira Lopes Pereira,TC
206,Luis Antonio Ferreira Rodrigues,15
207,Matheus de Vargas,20
208,Brayan Andres Ceballos Jimenez,6
209,Paulo Roberto Moccelin,94
210,Rodrigo Alves Soares,2
211,Jonathan Doin,28
212,Isidro Miguel Pitta Saldivar,80
213,Marlon Adriano Prezotti,25
214,Joao Victor Santos Sa,29
215,Philipe Sampaio Azevedo,94
216,Edenilson Andrade dos Santos,8
217,Taison Barcellos Freda,7
218,Bruno Cesar Pereira Silva,8
219,Lucas Baptista Felix,97
220,Arthur Largura Chaves,31
221,Jean Cleber Santos da Silva,16
222,Cleiton Schwengber,18
223,Eric dos Santos Rodrigues,16
224,Ramon Ramos Lima,6
225,Helio Junio Nunes de Castro,11
226,Aderlan de Lima Silva,13
227,Mauricio Nogueira Barbieri,TC
228,Rodrigo Oliveira Lindoso,19
229,Ramon Ramos Lima -,6
230,Givanildo Vieira de Sousa,7
231,Guilherme Antonio Arana Lopes,13
232,Jair Rodrigues Junior,8
233,Nathanael Ananias da Silva,40
234,Danilo Carvalho Barcelos,14
235,Adailson Freire Pereira da Silva,97
236,Reynaldo Cesar Moraes,29
237,Elvis Vieira Araujo,10
238,Matheus Alves da Silva Cardoso,94
239,Joao Lucas de Almeida Carvalho,2
240,Everton Cardoso da Silva,11
241,André Trindade da Costa Neto,7
